NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                             MESSAGE
kube-system                   41m         Normal    LeaderElection                           lease/kube-scheduler                                               gke-a4ad5f791ee9462391e0-79d6-e40e-vm_870923bb-78b5-42d0-9f07-a021a4782a15 became leader
kube-system                   41m         Normal    LeaderElection                           lease/kube-controller-manager                                      gke-a4ad5f791ee9462391e0-79d6-e40e-vm_6ff69537-8dd2-4104-8aec-73f64f335494 became leader
kube-system                   41m         Normal    LeaderElection                           lease/addon-manager                                                gke-a4ad5f791ee9462391e0-79d6-e40e-vm_c87ea6ce-21c9-45b6-9145-0957ae15b6cd became leader
kube-system                   41m         Normal    ScalingReplicaSet                        deployment/kube-dns                                                Scaled up replica set kube-dns-78d5d95979 from 0 to 1
kube-system                   41m         Warning   FailedCreate                             replicaset/kube-dns-78d5d95979                                     Error creating: insufficient quota to match these scopes: [{PriorityClass In [system-node-critical system-cluster-critical]}]
kube-system                   40m         Warning   FailedScheduling                         pod/kube-dns-78d5d95979-p2v8j                                      no nodes available to schedule pods
kube-system                   41m         Normal    SuccessfulCreate                         replicaset/kube-dns-78d5d95979                                     Created pod: kube-dns-78d5d95979-p2v8j
gke-managed-cim               41m         Warning   FailedCreate                             statefulset/kube-state-metrics                                     Create Pod kube-state-metrics-0 in StatefulSet kube-state-metrics failed error: pods "kube-state-metrics-0" is forbidden: error looking up service account gke-managed-cim/kube-state-metrics: serviceaccount "kube-state-metrics" not found
gke-managed-cim               38m         Normal    SuccessfulCreate                         statefulset/kube-state-metrics                                     Create Pod kube-state-metrics-0 in StatefulSet kube-state-metrics successful
gke-managed-cim               40m         Warning   FailedScheduling                         pod/kube-state-metrics-0                                           no nodes available to schedule pods
kube-system                   41m         Normal    LeaderElection                           lease/clustermetrics                                               gke-a4ad5f791ee9462391e0-79d6-e40e-vm became leader
kube-system                   41m         Normal    SuccessfulCreate                         replicaset/event-exporter-gke-7dc55f4f5f                           Created pod: event-exporter-gke-7dc55f4f5f-6k5kj
kube-system                   40m         Warning   FailedScheduling                         pod/event-exporter-gke-7dc55f4f5f-6k5kj                            no nodes available to schedule pods
kube-system                   41m         Normal    ScalingReplicaSet                        deployment/event-exporter-gke                                      Scaled up replica set event-exporter-gke-7dc55f4f5f from 0 to 1
kube-system                   40m         Normal    LeaderElection                           lease/gcp-controller-manager                                       gke-a4ad5f791ee9462391e0-79d6-e40e-vm became leader
kube-system                   40m         Normal    LeaderElection                           lease/gke-common-webhook-lock                                      gke-a4ad5f791ee9462391e0-79d6-e40e-vm_77ad0 became leader
kube-system                   40m         Normal    LeaderElection                           lease/cluster-autoscaler                                           gke-a4ad5f791ee9462391e0-79d6-e40e-vm became leader
kube-system                   40m         Normal    LeaderElection                           lease/cloud-provider-extraction-migration-pt2                      gke-a4ad5f791ee9462391e0-79d6-e40e-vm_401fb704-7fb4-4b3f-bc82-adbfe8338c22 became leader
kube-system                   40m         Normal    LeaderElection                           lease/cloud-controller-manager                                     gke-a4ad5f791ee9462391e0-79d6-e40e-vm_401fb704-7fb4-4b3f-bc82-adbfe8338c22 became leader
gke-managed-volumepopulator   40m         Normal    LeaderElection                           lease/gke-volume-populator-leader                                  gke-a4ad5f791ee9462391e0-79d6-e40e-vm became leader
kube-system                   40m         Warning   FailedScheduling                         pod/konnectivity-agent-5446844985-k8xgt                            no nodes available to schedule pods
kube-system                   40m         Normal    SuccessfulCreate                         replicaset/konnectivity-agent-5446844985                           Created pod: konnectivity-agent-5446844985-k8xgt
kube-system                   40m         Normal    ScalingReplicaSet                        deployment/konnectivity-agent                                      Scaled up replica set konnectivity-agent-5446844985 from 0 to 1
kube-system                   40m         Warning   FailedScheduling                         pod/konnectivity-agent-autoscaler-685569f784-wxl9g                 no nodes available to schedule pods
kube-system                   40m         Normal    SuccessfulCreate                         replicaset/konnectivity-agent-autoscaler-685569f784                Created pod: konnectivity-agent-autoscaler-685569f784-wxl9g
kube-system                   40m         Normal    ScalingReplicaSet                        deployment/konnectivity-agent-autoscaler                           Scaled up replica set konnectivity-agent-autoscaler-685569f784 from 0 to 1
kube-system                   40m         Normal    ScalingReplicaSet                        deployment/kube-dns-autoscaler                                     Scaled up replica set kube-dns-autoscaler-5dc7b666d8 from 0 to 1
